12,180,135
100,212,21
49,237,28
236,83,171
44,31,114
113,199,57
92,218,72
183,248,116
158,154,52
64,222,90
246,226,188
96,168,196
126,82,134
170,78,19
79,201,120
11,73,14
32,125,230
248,104,83
218,57,164
187,144,204
52,12,227
37,235,204
164,183,12
128,130,53
155,81,252
211,152,224
18,194,168
70,115,161
199,169,156
133,186,61
48,129,203
61,56,206
130,65,223
23,150,75
125,69,233
67,97,27
18,251,38
193,46,95
41,82,221
17,185,96
223,93,164
98,226,50
94,154,30
88,238,88
200,84,135
124,78,67
69,204,129
147,114,35
127,236,196
161,118,225
42,60,32
113,235,231
166,37,185
135,217,52
100,148,163
69,199,128
79,75,59
114,116,170
105,94,193
245,166,14
63,211,202
104,68,158
61,39,191
245,35,157
171,164,19
73,164,229
30,87,24
21,87,133
70,44,85
111,132,156
44,183,39
169,36,207
243,211,139
52,124,80
131,125,106
218,238,185
227,22,90
41,76,65
208,175,94
172,42,251
57,103,96
21,105,35
131,130,154
72,72,102
107,67,120
255,243,251
67,231,204
222,17,75
254,48,67
103,193,47
157,22,217
216,175,12
188,223,149
13,201,17
125,91,209
75,141,156
38,46,33
146,217,203
239,150,189
167,248,135
68,106,181
189,154,205
24,177,30
58,188,108
167,183,16
205,163,129
135,248,46
82,184,109
23,126,223
123,83,118
202,134,33
212,204,42
23,203,13
156,160,64
180,27,202
184,199,129
175,231,113
59,255,10
102,224,50
81,77,205
228,95,227
125,160,27
56,129,163
88,147,64
119,67,129
136,89,98
84,108,207
39,222,169
164,12,95
176,86,37
148,126,199
85,167,21
239,172,27
58,141,94
47,182,145
81,63,123
194,220,31
143,42,112
209,59,155
99,200,36
79,75,206
25,133,96
217,175,60
28,218,155
159,22,200
215,93,241
14,19,186
61,20,56
197,189,208
14,112,13
107,189,246
172,227,48
41,48,184
98,52,73
64,11,61
235,79,61
51,40,233
224,74,197
99,154,39
149,88,245
236,110,253
28,180,207
138,18,97
255,60,15
22,69,250
75,248,141
228,166,73
127,178,241
170,206,153
66,182,97
71,61,129
34,13,61
63,186,221
230,183,63
163,34,70
135,34,231
143,27,117
125,241,151
202,166,88
183,152,79
227,250,103
147,143,14
152,219,71
24,252,41
155,57,196
170,192,241
150,200,199
24,21,152
211,20,240
100,223,84
11,131,240
71,238,248
230,176,198
99,30,190
201,143,121
202,16,151
31,73,96
253,115,169
243,211,245
103,114,156
34,25,123
213,231,54
203,220,123
134,51,253
230,206,222
245,209,255
198,20,92
203,122,32
210,222,14
157,149,255
20,54,26
132,114,67
104,215,50
239,66,34
212,244,178
188,41,77
29,57,54
160,165,83
203,229,85
240,97,179
149,57,51
228,216,61
19,20,112
50,38,133
235,174,96
86,101,83
119,152,18
23,171,92
11,169,21
15,91,192
239,144,58
169,30,53
237,52,114
116,215,127
199,106,159
182,230,228
47,14,171
174,142,60
163,97,253
20,41,17
207,149,130
65,106,109
198,183,14
226,201,234
10,191,115
45,140,227
177,77,150
176,173,137
168,222,110
12,41,210
